,_q,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,Flag1,RAJ2000,DEJ2000,Dist,z,Bmag,BMAG,Jmag,Hmag,Kmag,Flag2,Flag3
70,695,,---,GAMAJ090612.02+014411.9,---,---,G,136.55,1.73666,,,,,,,,0,0
71,697,,---,SDSSJ092421.39+291754.8,---,---,G,141.089,29.29852,1940.89,0.361057590529,,,,,,2,0
72,700,,---,---,---,093617.94+483828.3,Q,144.074759585,48.6411995389,15620.3217949,1.96568751335,,,,,,1,0
73,701,,---,SDSSJ093805.17+381148.8,---,---,G,144.522,38.19689,403.645,0.0882183141092,,,,,,2,0
74,751,,---,---,10151896-1728510,---,G,153.829041,-17.48085,,,,,15.534,,14.176,0,0
75,783,,---,---,---,085104.81+183518.1,Q,132.770055067,18.5883659407,21588.8038695,2.55784368515,,,,,,1,0
76,786,,---,SDSSJ084922.64+182801.3,---,---,G,132.344,18.46711,432.514,0.0941363270682,18.64,-19.54,,,,2,0
77,791,26123,PGC026123,PGC026123,09154457+4215585,---,G,138.935715,42.266273,60.3053315452,0.02287,14.529,-19.3728,11.789,11.139,10.854,3,1
78,811,,---,---,09203094+7927304,---,G,140.128937,79.458458,370.621239721,0.081393,17.164,-20.6807,14.948,14.315,13.805,1,0
79,818,,---,SDSSJ085835.44+634604.2,---,---,G,134.648,63.76784,968.278,0.197067248534,,,,,,2,0
80,818,,---,SDSSJ085829.76+634644.1,---,---,G,134.624,63.77892,1606.94,0.307255353628,,,,,,2,0
81,821,,---,---,---,093843.71+584820.7,Q,144.682131279,58.8057631275,17851.8624488,2.19050216675,,,,,,1,0
82,822,,---,2679375,09144941+6538410,---,G,138.705902,65.644737,405.509,0.0886017743009,18.8,-19.24,15.29,14.596,13.981,2,0
83,870,,---,---,09410987-1639334,---,G,145.291153,-16.6593,363.55192238,0.079924,17.284,-20.5188,15.195,14.305,13.803,1,0
84,877,,---,SDSSJ084800.31+232301.1,---,---,G,132.001,23.38364,2666.86,0.471444355722,,,,,,2,0
85,878,,---,1720598,08353105+2456076,---,G,128.87941,24.935463,355.834090157,0.078317,16.659,-21.0972,13.928,13.225,12.874,1,0
86,878,,---,SDSSJ083530.81+245558.3,---,---,G,128.879,24.93284,1312.2,0.257754548877,,,,,,2,0
87,900,,---,930329,---,---,G,160.326,-14.00002,,,17.9,,,,,0,0
88,966,,---,838704,09181085-2039224,---,G,139.545242,-20.656229,257.812928445,0.057878,15.772,-21.2845,13.207,12.392,12.007,1,1
89,980,,---,---,09165299-1525066,---,G,139.220795,-15.418523,581.783571149,0.124058,17.77,-21.0538,15.099,14.332,13.787,1,0
90,985,,---,GAMAJ085648.48+015629.3,---,---,G,134.202,1.94148,,,,,,,,0,0
91,988,,---,1247946,08591256+0314055,---,G,134.802368,3.234881,761.142396236,0.158666,18.214,-21.1933,15.271,14.461,13.779,1,0
92,988,,---,SDSSJ085914.43+031301.0,---,---,G,134.81,3.21694,907.821,0.186017673009,19.07,-20.72,,,,2,0
93,988,,---,SDSSJ085909.76+031247.9,---,---,G,134.791,3.21333,887.156,0.182211631106,20.61,-19.13,,,,2,0
94,989,,---,SDSSJ090303.98+012451.3,---,---,G,135.767,1.41426,2421.03,0.434942137471,,,,,,2,0
95,990,,---,GAMA302735,---,---,G,139.019,1.4493,,,,,,,,0,0
0,33,,---,---,10155723-0201134,---,G,153.98848,-2.020403,660.043351067,0.139327,17.675,-21.4229,15.288,14.605,13.876,1,0
1,35,,---,---,---,102930.23-014301.0,Q,157.375998493,-1.71696286899,5816.07116575,0.88966935873,,,,,,1,0
2,90,,---,---,07073857+0158141,---,G,106.910713,1.970589,346.763632604,0.076424,17.992,-19.7082,15.062,14.346,13.886,1,0
3,101,,---,940742,---,---,G,165.075,-13.24156,,,18.16,,,,,0,0
4,113,,---,80621,08150588-1536407,---,G,123.774529,-15.611332,199.370348223,0.045034,16.23,-20.2683,13.335,12.637,12.258,1,1
5,122,,---,80451,---,---,G,123.35,-17.2805,,,17.97,,,,,0,0
6,138,,---,---,07575261-1947472,---,G,119.469215,-19.796463,,,,,,,14.04,0,0
7,139,,---,79961,08082955-1714388,---,G,122.123161,-17.244112,258.414805843,0.057944,17.341,-19.7206,14.892,14.259,13.807,1,1
8,153,,---,---,---,093002.59+471012.9,Q,142.510815587,47.1702666847,9150.00473911,1.27880299091,,,,,,1,0
9,156,,---,2262968,10352707+4519106,---,G,158.862823,45.319622,855.067,0.176271568136,18.53,-21.13,15.304,14.587,14.136,2,0
10,156,,---,---,---,103524.67+452008.3,Q,158.852823907,45.3356599707,21869.0312421,2.585,,,,,,1,0
11,156,,---,---,---,103530.81+451905.5,Q,158.878383393,45.3182031825,9918.05278117,1.36404776573,,,,,,1,0
12,195,,---,113287,10281352-1209412,---,G,157.056351,-12.161449,642.688,0.135964147982,17.65,-21.39,15.096,,14.013,2,0
13,195,,---,113284,---,---,G,157.035,-12.16618,633.87,0.134250547125,17.66,-21.35,,,,2,0
14,205,,---,125705,11091755-0545177,---,G,167.323151,-5.754929,390.841,0.0855792427896,18.36,-19.6,15.326,14.768,14.309,2,0
15,208,,---,3262979,---,---,G,163.441,-4.4388,113.065945663,0.025910022955,18.39,-16.8767,,,,2,1
16,210,,---,3262282,---,---,G,165.242,-3.2739,1241.65,0.245583572792,19.48,-20.99,,,,2,0
17,211,,---,3261632,---,---,G,166.827,-5.4215,1037.53,0.209574644787,19.32,-20.76,,,,2,0
18,212,,---,1205077,11020728+0145478,---,G,165.530334,1.763296,169.222806215,0.044645,15.169,-20.9733,12.524,11.871,11.48,3,1
19,214,,---,SDSSJ112937.33+064449.2,---,---,G,172.406,6.74702,2023.02,0.373965036983,,,,,,2,0
20,216,,---,1210210,---,---,G,171.66,1.91903,401.791,0.0878367439184,18.7,-19.32,,,,2,0
21,217,,---,---,---,113413.40+142941.6,Q,173.555855679,14.4949021339,23842.8909114,2.77494692802,,,,,,1,0
22,218,,---,3089589,10554529+2401426,---,G,163.938721,24.0285,314.434675507,0.069638,16.591,-20.8967,13.706,13.005,12.689,1,0
23,218,,---,SDSSJ105542.19+240142.3,10554222+2401425,---,G,163.925949,24.028498,727.78,0.152330296165,19.05,-20.26,15.639,14.95,14.624,2,0
24,220,,---,SDSSJ110940.01+232610.1,---,---,G,167.417,23.43621,316.228,0.0700161350081,18.43,-19.07,,,,2,0
25,221,,---,---,---,105851.25+272921.0,Q,164.713574199,27.4891733651,6753.44531652,1.0029001236,,,,,,1,0
26,228,,---,SDSSJ102613.81+030206.3,---,---,G,156.558,3.03506,946.237,0.193053306527,18.98,-20.9,,,,2,0
27,232,,---,1016092,12163955-0736299,---,G,184.164795,-7.608324,925.823786858,0.189321,18.123,-21.7096,15.274,14.602,13.822,1,0
28,235,,---,SDSSJ105617.01+615125.2,---,---,G,164.071,61.85707,1018.59,0.206169493085,18.78,-21.26,,,,2,0
29,236,,---,---,---,113740.59+630257.1,Q,174.419148232,63.049197543,19177.537097,2.322,,,,,,1,0
30,239,,---,6dFJ0827315-194737,08273149-1947372,---,G,126.88121,-19.793674,359.386014321,0.079057,17.18,-20.5978,14.393,13.561,13.025,1,0
31,278,,---,---,11345993-2318108,---,G,173.749725,-23.30302,,,,,15.544,,13.735,0,0
32,285,,---,---,---,113141.61+095849.6,Q,172.923409001,9.98045274146,21147.7449677,2.515,,,,,,1,0
33,287,,---,1828438,---,---,G,163.152,28.1762,,,,,,,,0,0
34,288,,---,---,---,105038.50+283422.3,Q,162.660451429,28.572867649,6171.21683458,0.933,,,,,,1,0
