JD,Band,Flux,Fluxerr,Mag,Magerr
2453205.73202,I,0.000705,0.000006,16.431479,0.009240
2453206.63961,I,0.000731,0.000007,16.392158,0.010397
2453209.68268,I,0.000848,0.000009,16.230962,0.011523
2453210.62774,I,0.000803,0.000007,16.290163,0.009465
2453211.70228,I,0.000830,0.000010,16.254256,0.013081
2453217.62212,I,0.000902,0.000007,16.163935,0.008426
2453218.62149,I,0.000739,0.000008,16.380340,0.011754
2453219.72334,I,0.000860,0.000011,16.215705,0.013887
2453223.61887,I,0.000803,0.000010,16.290163,0.013521
2453224.66862,I,0.000850,0.000007,16.228404,0.008941
2453226.58182,I,0.000739,0.000008,16.380340,0.011754
2453228.56999,I,0.000818,0.000008,16.270068,0.010618
2453229.59811,I,0.000756,0.000006,16.355647,0.008617
2453230.63675,I,0.000861,0.000006,16.214444,0.007566
2453231.53776,I,0.000763,0.000008,16.345640,0.011384
2453232.56639,I,0.000823,0.000011,16.263452,0.014512
2453238.57667,I,0.000839,0.000008,16.242547,0.010353
2453238.58732,I,0.000832,0.000008,16.251643,0.010440
2453238.70357,I,0.000730,0.000009,16.393644,0.013386
2453239.54708,I,0.000720,0.000007,16.408620,0.010556
2453239.63725,I,0.000754,0.000008,16.358523,0.011520
2453240.6238,I,0.000878,0.000009,16.193215,0.011129
2453241.62281,I,0.000750,0.000012,16.364298,0.017372
2453245.51721,I,0.000836,0.000009,16.246436,0.011689
2453246.62928,I,0.000744,0.000010,16.373019,0.014593
2453247.64476,I,0.000885,0.000008,16.184593,0.009815
2453249.49634,I,0.000740,0.000008,16.378872,0.011738
2453250.62392,I,0.000898,0.000008,16.168761,0.009672
2453253.61723,I,0.000868,0.000009,16.205652,0.011258
2453256.60011,I,0.000767,0.000008,16.339963,0.011324
2453259.59229,I,0.000742,0.000009,16.375942,0.013169
2453267.4993,I,0.000777,0.000009,16.325899,0.012576
2453271.58488,I,0.000913,0.000017,16.150775,0.020216
2453274.59871,I,0.000777,0.000009,16.325899,0.012576
2453278.57045,I,0.000863,0.000008,16.211925,0.010065
2453281.5512,I,0.000863,0.000008,16.211925,0.010065
2453281.58627,I,0.000865,0.000006,16.209411,0.007531
